time,open,high,low,close,volume
2019-10-28,0.019292,0.019785,0.018975,0.019733,203839.894
2019-10-29,0.019735,0.020458,0.019558,0.020246,204988.687
2019-10-30,0.020246,0.020543,0.019868,0.020006,175707.401
2019-10-31,0.020008,0.020153,0.019602,0.019928,141846.922
2019-11-01,0.019931,0.020068,0.019513,0.019808,121987.678
2019-11-02,0.019809,0.019896,0.019593,0.019688,72667.525
2019-11-03,0.019688,0.01993,0.019612,0.019739,76486.694
2019-11-04,0.019743,0.020217,0.019665,0.01977,140996.812
2019-11-05,0.019769,0.020571,0.019701,0.020271,141847.689
2019-11-06,0.020267,0.020745,0.020209,0.020464,145468.277
2019-11-07,0.020468,0.020517,0.020137,0.020258,126894.675
2019-11-08,0.020258,0.02098,0.02011,0.02094,155658.789
2019-11-09,0.020941,0.021067,0.020783,0.02099,105277.254
2019-11-10,0.020995,0.021618,0.020784,0.020905,141729.902
2019-11-11,0.020906,0.021491,0.020891,0.021178,101916.238
2019-11-12,0.021177,0.021425,0.021064,0.021213,104835.076
2019-11-13,0.021213,0.021592,0.02116,0.02143,103518.752
2019-11-14,0.02143,0.021522,0.021225,0.021387,115091.694
2019-11-15,0.021387,0.021487,0.02095,0.021247,163950.564
2019-11-16,0.021247,0.021628,0.02123,0.021478,106218.335
2019-11-17,0.021479,0.021713,0.021341,0.021621,110392.208
2019-11-18,0.021621,0.021788,0.021427,0.021762,145130.821
2019-11-19,0.021763,0.021772,0.021386,0.021632,131660.329
2019-11-20,0.021631,0.021824,0.021436,0.021578,120661.327
2019-11-21,0.021578,0.021693,0.02085,0.021111,202325.831
2019-11-22,0.021107,0.021215,0.020265,0.020577,345815.015
2019-11-23,0.020577,0.021067,0.020393,0.020767,121657.216
2019-11-24,0.020766,0.02099,0.0202,0.020272,114663.58
2019-11-25,0.020279,0.021096,0.02013,0.020491,246615.848
2019-11-26,0.020505,0.020833,0.020349,0.020607,130640.159
2019-11-27,0.020609,0.020778,0.020259,0.020323,173949.094
2019-11-28,0.020324,0.020481,0.020028,0.02032,118628.408
2019-11-29,0.02032,0.02051,0.019769,0.019958,151319.852
2019-11-30,0.01996,0.020179,0.019811,0.020078,113296.267
2019-12-01,0.020078,0.020577,0.019941,0.020392,122514.995
2019-12-02,0.020392,0.02053,0.02022,0.020378,92870.165
2019-12-03,0.020378,0.020401,0.02012,0.020175,89803.648
2019-12-04,0.020181,0.020373,0.0195,0.020212,151509.348
2019-12-05,0.020217,0.020245,0.019776,0.020046,115132.425
2019-12-06,0.020045,0.020106,0.019677,0.019721,102441.823
2019-12-07,0.019722,0.019786,0.019607,0.019652,78294.16
2019-12-08,0.01965,0.020107,0.019601,0.020031,87245.106
2019-12-09,0.020026,0.020142,0.019757,0.02008,100941.143
2019-12-10,0.02008,0.020232,0.019912,0.020149,112098.75
2019-12-11,0.020149,0.020195,0.01977,0.019888,77035.268
2019-12-12,0.019888,0.020181,0.019598,0.020125,107361.328
2019-12-13,0.020126,0.020147,0.01982,0.019953,82140.887
2019-12-14,0.019951,0.02015,0.019767,0.020072,64800.361
2019-12-15,0.020072,0.020142,0.01987,0.020012,61261.984
2019-12-16,0.020013,0.020082,0.0188,0.019257,188210.275
2019-12-17,0.019259,0.019327,0.018194,0.01841,191747.629
2019-12-18,0.01841,0.018796,0.018001,0.01825,248843.983
2019-12-19,0.018251,0.018326,0.017586,0.017917,162720.936
2019-12-20,0.017916,0.017975,0.017734,0.017832,86037.19
2019-12-21,0.017834,0.017895,0.017731,0.017806,69830.887
2019-12-22,0.017809,0.018174,0.0176,0.017616,97401.926
2019-12-23,0.017616,0.017758,0.017223,0.017463,133743.344
2019-12-24,0.017463,0.01776,0.017367,0.017604,96212.375
2019-12-25,0.017602,0.017622,0.017184,0.017371,95405.417
2019-12-26,0.017369,0.017831,0.017297,0.01744,106149.332
2019-12-27,0.017438,0.017525,0.017258,0.017415,109292.55
2019-12-28,0.017409,0.017647,0.01737,0.017512,93429.335
2019-12-29,0.017513,0.018336,0.017484,0.018184,136887.525
2019-12-30,0.018185,0.018402,0.017916,0.018161,134313.801
2019-12-31,0.018161,0.018303,0.017867,0.017953,98149.386
2020-01-01,0.017954,0.018356,0.01792,0.01815,69117.568
2020-01-02,0.018152,0.018319,0.017965,0.018256,79445.908
2020-01-03,0.018257,0.018425,0.0178,0.018297,151077.847
2020-01-04,0.018298,0.01836,0.01814,0.018248,84277.158
2020-01-05,0.018247,0.018565,0.018152,0.0184,107997.202
